"iso2c_name","source","order"
"AD","https://raw.githubusercontent.com/student3841701/plotlyflag/master/AD.png",1
"AE","https://raw.githubusercontent.com/student3841701/plotlyflag/master/AE.png",2
"AL","https://raw.githubusercontent.com/student3841701/plotlyflag/master/AL.png",3
"AM","https://raw.githubusercontent.com/student3841701/plotlyflag/master/AM.png",4
"AO","https://raw.githubusercontent.com/student3841701/plotlyflag/master/AO.png",5
"AR","https://raw.githubusercontent.com/student3841701/plotlyflag/master/AR.png",6
"AS","https://raw.githubusercontent.com/student3841701/plotlyflag/master/AS.png",7
"AT","https://raw.githubusercontent.com/student3841701/plotlyflag/master/AT.png",8
"AU","https://raw.githubusercontent.com/student3841701/plotlyflag/master/AU.png",9
"AW","https://raw.githubusercontent.com/student3841701/plotlyflag/master/AW.png",10
"BA","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BA.png",11
"BB","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BB.png",12
"BD","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BD.png",13
"BE","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BE.png",14
"BF","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BF.png",15
"BG","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BG.png",16
"BH","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BH.png",17
"BI","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BI.png",18
"BJ","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BJ.png",19
"BM","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BM.png",20
"BN","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BN.png",21
"BO","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BO.png",22
"BR","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BR.png",23
"BS","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BS.png",24
"BT","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BT.png",25
"BW","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BW.png",26
"BY","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BY.png",27
"BZ","https://raw.githubusercontent.com/student3841701/plotlyflag/master/BZ.png",28
"CA","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CA.png",29
"CC","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CC.png",30
"CD","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CD.png",31
"CF","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CF.png",32
"CG","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CG.png",33
"CH","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CH.png",34
"CI","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CI.png",35
"CK","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CK.png",36
"CL","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CL.png",37
"CM","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CM.png",38
"CO","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CO.png",39
"countrylist.csv","https://raw.githubusercontent.com/student3841701/plotlyflag/master/countrylist.csv",40
"CR","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CR.png",41
"CU","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CU.png",42
"CV","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CV.png",43
"CW","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CW.png",44
"CX","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CX.png",45
"CY","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CY.png",46
"CZ","https://raw.githubusercontent.com/student3841701/plotlyflag/master/CZ.png",47
"DE","https://raw.githubusercontent.com/student3841701/plotlyflag/master/DE.png",48
"DK","https://raw.githubusercontent.com/student3841701/plotlyflag/master/DK.png",49
"DM","https://raw.githubusercontent.com/student3841701/plotlyflag/master/DM.png",50
"DO","https://raw.githubusercontent.com/student3841701/plotlyflag/master/DO.png",51
"DZ","https://raw.githubusercontent.com/student3841701/plotlyflag/master/DZ.png",52
"EC","https://raw.githubusercontent.com/student3841701/plotlyflag/master/EC.png",53
"EE","https://raw.githubusercontent.com/student3841701/plotlyflag/master/EE.png",54
"EG","https://raw.githubusercontent.com/student3841701/plotlyflag/master/EG.png",55
"EH","https://raw.githubusercontent.com/student3841701/plotlyflag/master/EH.png",56
"ER","https://raw.githubusercontent.com/student3841701/plotlyflag/master/ER.png",57
"ES","https://raw.githubusercontent.com/student3841701/plotlyflag/master/ES.png",58
"ET","https://raw.githubusercontent.com/student3841701/plotlyflag/master/ET.png",59
"FI","https://raw.githubusercontent.com/student3841701/plotlyflag/master/FI.png",60
"FJ","https://raw.githubusercontent.com/student3841701/plotlyflag/master/FJ.png",61
"FK","https://raw.githubusercontent.com/student3841701/plotlyflag/master/FK.png",62
"FO","https://raw.githubusercontent.com/student3841701/plotlyflag/master/FO.png",63
"FR","https://raw.githubusercontent.com/student3841701/plotlyflag/master/FR.png",64
"GA","https://raw.githubusercontent.com/student3841701/plotlyflag/master/GA.png",65
"GB","https://raw.githubusercontent.com/student3841701/plotlyflag/master/GB.png",66
"GD","https://raw.githubusercontent.com/student3841701/plotlyflag/master/GD.png",67
"GG","https://raw.githubusercontent.com/student3841701/plotlyflag/master/GG.png",68
"GH","https://raw.githubusercontent.com/student3841701/plotlyflag/master/GH.png",69
"GI","https://raw.githubusercontent.com/student3841701/plotlyflag/master/GI.png",70
"GL","https://raw.githubusercontent.com/student3841701/plotlyflag/master/GL.png",71
"GM","https://raw.githubusercontent.com/student3841701/plotlyflag/master/GM.png",72
"GN","https://raw.githubusercontent.com/student3841701/plotlyflag/master/GN.png",73
"GQ","https://raw.githubusercontent.com/student3841701/plotlyflag/master/GQ.png",74
"GR","https://raw.githubusercontent.com/student3841701/plotlyflag/master/GR.png",75
"GU","https://raw.githubusercontent.com/student3841701/plotlyflag/master/GU.png",76
"GW","https://raw.githubusercontent.com/student3841701/plotlyflag/master/GW.png",77
"GY","https://raw.githubusercontent.com/student3841701/plotlyflag/master/GY.png",78
"HK","https://raw.githubusercontent.com/student3841701/plotlyflag/master/HK.png",79
"HN","https://raw.githubusercontent.com/student3841701/plotlyflag/master/HN.png",80
"HR","https://raw.githubusercontent.com/student3841701/plotlyflag/master/HR.png",81
"HT","https://raw.githubusercontent.com/student3841701/plotlyflag/master/HT.png",82
"HU","https://raw.githubusercontent.com/student3841701/plotlyflag/master/HU.png",83
"ID","https://raw.githubusercontent.com/student3841701/plotlyflag/master/ID.png",84
"IE","https://raw.githubusercontent.com/student3841701/plotlyflag/master/IE.png",85
"IL","https://raw.githubusercontent.com/student3841701/plotlyflag/master/IL.png",86
"IM","https://raw.githubusercontent.com/student3841701/plotlyflag/master/IM.png",87
"IN","https://raw.githubusercontent.com/student3841701/plotlyflag/master/IN.png",88
"IO","https://raw.githubusercontent.com/student3841701/plotlyflag/master/IO.png",89
"IQ","https://raw.githubusercontent.com/student3841701/plotlyflag/master/IQ.png",90
"IR","https://raw.githubusercontent.com/student3841701/plotlyflag/master/IR.png",91
"IS","https://raw.githubusercontent.com/student3841701/plotlyflag/master/IS.png",92
"IT","https://raw.githubusercontent.com/student3841701/plotlyflag/master/IT.png",93
"JE","https://raw.githubusercontent.com/student3841701/plotlyflag/master/JE.png",94
"JM","https://raw.githubusercontent.com/student3841701/plotlyflag/master/JM.png",95
"JO","https://raw.githubusercontent.com/student3841701/plotlyflag/master/JO.png",96
"JP","https://raw.githubusercontent.com/student3841701/plotlyflag/master/JP.png",97
